name,location,Date,Rating,Review
Breggetta,"Long Beach, CA","Reviewed July 27, 2023",1.0,"I filed a BBB complaint last month because Starbucks canceled my Starbucks Reward cards. I couldn't remember the balances, so I guessed about $9. Starbucks played nothing but games and tried everything they could to avoid responding to the complaint. I received a couple of phone call messages asking me to contact them directly and discuss the matter. The number provided was the customer service number and when I spoke with one representative, Linda hung up the phone on me. I did not use my card since 2012 which is my prerogative. Because of this and other reasons, Starbucks decided to close my Starbucks account. I reopened one about a few weeks ago and added a new card that I have not used yet."
Shannon,"Westerville, OH","Reviewed July 21, 2023",2.0,"Every time I try to buy a Strawberry Refresher Starbucks never has strawberries to put into the drink. How is the drink called Strawberry Refresher and you guys never have any damn strawberries. It seems every time we go on the Starbucks to order a specialty drink you guys are constantly out of it. It’s like calling a pizza place, and they’re telling us they’re out of cheese. I don’t give you a partial payment so I don’t expect a partial drink."
Lucy,"Fontana, CA","Reviewed July 21, 2023",1.0,Insulted by customer service representative as I called to complain instead of acknowledge they have issues and they are providing low quality. She called me suspicious even though I spend at least average 15 dollars a day. Was so upset and I decided to close the account after being with them for more than 10 yrs. Company that doesn't appreciate feedback soon to fall especially that it lost its quality.
RAYMOND,"Kapolei, HI","Reviewed July 16, 2023",1.0,"I would give Starbucks zero stars if I could. I received an email that I would be receiving a birthday reward on the day of my birthday and it would be good on the day of my birthday only. The email also stated that the reward would be for any drink or food item. I went to an Starbucks near my home. The cashier told me my coupon had expired. I told her I don't have a coupon. Its a birthday reward. I ordered a sandwich. The cashier said I could only purchase a drink. I showed her the email. She said, let's try it and swiped my card. She said it didn't take so she asked if I wanted a drink. I told her to just give me a venti hot coffee. She swiped my card again and said it didn't work. Then she asked, ""Are you sure it's your birthday?"" I showed her the email that said in big letters, 7/15. I told her this is July 15 and this is my birthday. "
Thomas,"Absecon, NJ","Reviewed July 6, 2023",1.0,"On June 21, 2023 I purchased coffee and a breakfast sandwich for $8.10 at the Starbucks located at the Target store in Mays Landing, N.J. I was not given purchase credit and “star” points for the purchase even though the cashier there scanned my Starbucks app. I reported this to customer service the next day and was told to email them a copy of my credit card receipt to their customer service address, which I did. I have still not been given stars to my account or credit for this purchase. I have attempted to contact them on multiple occasions and they have not responded."
Felicia,"Atlanta, GA","Reviewed July 6, 2023",1.0,"My mother sent me a $15 gift card purchased from Walgreens in June. She came to visit me this past weekend and brought the Gift card receipts. I contacted Walgreens to replace the cards. I was told to contact the Merchant (Starbucks). I called Starbucks and spoke with a representative today, explained my problem. He asked for the card number. When I provided it, he transferred me to a different department that handles these issues. I got another representative. I told this representative why I was transferred over. She got silent and ended the call. It is like no one wants to handle issues or do their job. "
Sean,"Hamilton, Other","Reviewed June 28, 2023",1.0,"Was handed a coffee in a drive through. The lid was not on right and the top edge of the cup was bent. When I accepted the coffee and was going to place it in my cup holder, the cup bent, the lid fell off and the coffee spilled all over myself and my newly detailed interior. Not the way to start a day especially on the way to an appointment. Now $$ for coffee and detailing."
Charles,"Washington, DC","Reviewed June 11, 2023",1.0,I’m at 20th and L in DC. There are a dozen people here and only one employee to make drinks. Unacceptable. I have commitments to get to and I don’t have time to wait. It’s already been 20 minutes. I won’t come to this location again.
Miya,"Fairburn, GA","Reviewed June 3, 2023",1.0,I have been purchasing Starbucks a lot using my cash app card. I reached out to Starbucks customer service so they could add my purchases or receipts to my account for points. I emailed them and received an automated email back saying someone will reach out to me. No one has as of yet. I sent out another email and still didn't get any assistance. Starbucks is ignoring me about receiving help
Ann,"Coquitlam, Other","Reviewed May 30, 2023",1.0,"Starbucks Como Lake. Bad attitude of the cashier, demonstrative arrogance and didn't greet me, misspelled my name, then laughed at me with the staff. Orders are often confused, it is better to take a check in order to get the desired drink later. The order took a long time, one day we had to wait 30 minutes. Bad place."
Vicki,"Haltom City, TX","Reviewed May 22, 2023",1.0,"This past Sunday, 5/21/2023 we went through the drive in and bought 2 Double smoked breakfast sandwiches, expecting it to have back and Gruyere cheese and an egg. They did not. We got 2 buns pasted together with unidentifiable something. We were on the road somewhere or I would have turned around and returned them. I know their food comes pre packaged and only warmed at the store, so I fault the company for falsely selling food that does not meet the picture on display at the ordering kiosk. Just how many millions does Starbucks need to make on a daily basis? Their food is already overpriced. I mean, how much does 1 egg, 1 small slices of bacon and cheese cost?"
Shannon,"Phoenix, AZ","Reviewed May 15, 2023",1.0,I WAS OVERCHARGED FOR A VENTI BROWN SUGAR SHAKEN ESPRESSO. I looked at my paypal notification and there was 13.40$ taken from my account for the coffee drink. Very unhappy about it. I would like a refund of the total price. If not I will never buy another product from you guys. I go to Starbucks on the regular. I am just really sick and tired of being taken advantage of.
VD,"Davis, CA","Reviewed May 11, 2023",1.0,"I received a gift card on 4/20/2023 but not able to use it today, 5/11/2023. I believe no one should purchase Starbucks gift card anymore, because this is the 2nd time I was not able to use a Starbucks gift card...the first time was a thank-you card from the coordinator of our church's Foster the City program; all of us ""support friends"" helping out the foster families with various tasks received a card but it turned out we were all told not to use it because for reasons unbeknownst to him the cards were invalid. Sadly it happened—again...this time I received a card from a trusted friend and the same happened. I already texted her and let her know what had happened. I'm having a bad feeling Starbucks is having some kind of scam. I'm so appreciative of my friend’s kind heart and texted her about the card because I feel uncomfortable about what Starbucks is doing and personally I will not purchase Starbucks gift cards in the future, anymore."
Jennifer,"West Roxbury, MA","Reviewed April 30, 2023",1.0,"I spend about $30/day, is it asking too much to have a lid that does not fall off? I have contacted Starbucks customer service for months being told they are addressing the issue but nothing changes."
Mark,"Homosassa, FL","Reviewed April 28, 2023",1.0,During Covid their restrictions were over the top and still require staff to put cream and sugar in my coffee. Starbucks this is nonsense - no wonder you have 3 stars. Why should your customers wait for a cup of coffee as if I had ordered a frap. Dumb policy. Sell coffee not politics.
Chris,"Mesquite, TX","Reviewed April 20, 2023",1.0,"For me to come on here and leave a review for your store on town east (New store beside HS) y'all need to do better! Tell your employees to stay off their phones and put effort into doing their jobs or employ people that actually want to work! I waited patiently for my coffee as did everyone else but my frappe tasted like crap! I don't drink Starbucks very often and if I do I go to the one on military and never had an issue there whatsoever l! BUT TODAY, I happen to be in the town east area and decided to treat myself to a frappe! Unfortunately it tasted like crap, and seeing an employee on their phone after receiving my coffee irritated me cause if they put as much attention into doing their job as they do their phone it probably would get them more than one star!!"
Elizabeth,"Spring Valley, CA","Reviewed March 30, 2023",1.0,"Me and my Special needs son need to wait at a Starbucks for an Access Van. The store has only teeny tiny tables, where two people can not sit at, as the table is far too small. And round, so the tables can not be joined. The staff, told me Starbucks is making it extremely uncomfortable for a family to eat inside, and difficult for couples, people with special needs, basically everyone. The table is a little bigger than a stool. I was told the staff and many complained, though corporate office stated to them, Star Bucks is not a family friendly place, not a place for a group of people to meet. They said the corporate office said, despite the complaints, the tiny tables stay,"
Kemmis,"Toronto, Other","Reviewed March 29, 2023",1.0,"It has chemical odors and makes me gag. My friend dared me to have some and I barfed all over the store. They spelled my name wrong on purpose, my name is Kemmis but Starbucks spelled it as Chemist and I said, ""That's not my name, it's Kemmis."""
Eva,"Montreal, Other","Reviewed March 10, 2023",1.0,"Ok so, I already had in mind to stop going to Starbucks since it was costing me like 250$ a month. When I saw on Tiktok how unhealthy their drinks really are, I just knew I had slow down my intake. But today that was it for me. They told me that to have a free drink is no longer 150 stars - it’s now required to accumulate 200 Stars. No way, this is a sign from the Universe for me to really stop drinking their unhealthy drinks. They can go and require 1000 Stars for a free drink if they wish - I don’t care because, I really am not interested anymore."
Tiffany,"Silver Spring, MD","Reviewed March 3, 2023",1.0,I bought a Caramel macchiato last night on 03/02/2023 and there was particles of a white cleaning rag in my drink. Pretty much Starbucks isn’t doing anything which is awful and disgusting. I have lost my ambition to buy coffee from Starbucks forever after this experience and with their customer service.
Kseniia,"Old Bridge, NJ","Reviewed Feb. 22, 2023",1.0,"My account got blocked, I cannot log in and I have a substantial balance there. I have already spent hours on the phone with customer service trying to resolve this. The issue was even ""escalated"" to a senior rep. But after months of going back and forth and me bagging to return my money, Starbucks reps say that there's nothing they can do. They wouldn't issue me a card for the balance or credit me back on my credit card."
Nilly,"Pleasant Hill, CA","Reviewed Feb. 19, 2023",1.0,"All the money Starbucks makes not only are they ungrateful to their employees but what's the point of being a loyal ongoing cu6 when you have to pay more just to start using rewards, why would they change the amount you need to earn? It's bad enough all their Starbucks games you don't win anything big. It's like they are all rigged that way...Not to win."
Latasha,"Duffield, VA","Reviewed Feb. 9, 2023",3.0,"In my opinion, I can't believe Starbucks has now changed it to 200 stars for free handcrafted beverage!!! It was 150 so that means spend $150 and you get a free drink! Not anymore. The coffees are already outrageous as it is, they ask you tip now with new card reader which is super uncomfortable in the first place. May start going to 7 Brew, it's good, cheap and 5 minutes from them here in Kingsport."
William,"Las Vegas, NV","Reviewed Feb. 5, 2023",1.0,"On 01/23/2023 I purchased Starbucks beverage located in Las Vegas. Upon receiving the beverage (Caramel Macchiato), it was drowned in Caramel Sauce. Caramel was thrown in the cup and to top it off an excessive amount of Caramel was put on top. I requested the beverage to be made again. Upon departing property, I realized that the steaming wand was never wiped down. I returned home and contacted Starbucks via email to leave a complaint. I was contacted back and was informed that I would be receiving a full refund for the purchase. On 02/04/2023, I received the gift card through Mail. Looked to see how much was refund and showed, 10 cents. Due to the lack customer service, I will be taking my business elsewhere."
James,"Johnson City, TN","Reviewed Feb. 4, 2023",1.0,Got to Starbucks inside Food City before 6 pm. Asked for a large decaf. I was told they could only do a half caf. Very disappointed in their logistics function. A viable business should have its ordering of supplies rather optimized by the time they are a mature business.
vincent,"East Stroudsburg, PA","Reviewed Feb. 1, 2023",2.0,"I know a lot of people line up for this stuff but the coffee is not that good. I guess that's why they put in so many flavorings and sweeteners. If you like just coffee, try somewhere else. Many to choose from. I won't name them here. This is not an advertisement."
J,"Mission, TX","Reviewed Feb. 1, 2023",2.0,I have had enough of this companies deceitful ways. A 16oz Grande and 24 oz Vente both have 2 shots of espresso. All you are paying for is more milk which weakens the taste. Logically if a grande has 2 shots then a vente should have 3. The shots have already been reduced in size over the years. Secondly Tips are based on performance...to ask us to tip before we can even finish cashing out is no right. You are pressuring us to leave a tip before we even get our coffee. What if the service stinks? I think you should go back to using a tip jar that way if the service is good we can tip and if not we can leave. I am only one person but you have lost me as a customer and I will do whatever I can to spread the word.
Brenda,"Sloan, IA","Reviewed Jan. 30, 2023",1.0,They are ALWAYS out of stuff at Lakeport Commons in Sioux City!! So forger mobile ordering! Mobile ordering takes your money then when you get there told out of SOMETHING and you lost money. Never have the sauces you want. Out if Matcha for green tea for weeks! Out of ice coffee at least 2x week.
ANDRU,"Rocky Mount, NC","Reviewed Jan. 1, 2023",2.0,I had purchased a drink on my app at an airport. I went to pick it up and they said they could not make my drink because the blender was broken down and could not refund my money. I asked them how I would get my money back. They said there's a phone number on the app and the phone number goes to the store and I've called the store nine times and no one will answer. I send an email to Starbucks Corporation 2 weeks ago and have heard nothing. I will no longer visit or you Starbucks..
Marlene,"Oshawa, Other","Reviewed Dec. 29, 2022",1.0,"They wonder why they have to shut down locations. This company should be called makeothercoffeecompaniesbucks because they don't care in helping people out who can't get into their mobile accounts. Second time this year I get locked out of my account and no matter what I do I can't get in and then when you call customer service they can't speak/understand English and say they fixed the problem when nothing gets fixed, then someone tells you someone will call you and nobody does. I'm done with this company. Thanks for saving me hundreds a month!!!"
Paul,"Portland, OR","Reviewed Dec. 13, 2022",1.0,"Yet another person with a Horrible Experience at a Starbucks... Specifically, the Starbucks at Johnson Creek Crossing in Portland, Oregon. I was trying to give my order at the drive-thru, but apparently the person who was taking it couldn't hear me very well. A short, decaf vanilla mocha non-fat no-whip. Still, she had every thing right but the vanilla, so when she asked me if it was right, I said ""Everything but the vanilla."" She said she was having trouble hearing me, so I said loudly ""Va-nil-la!"" She said she was still having trouble hearing me, and for some unknown reason changed the drink to a grande vanilla latte, so I said loudly ""Moch-a!"" and then asked her why she changed the drink/size? She said she more about not being able to hear me, so in a very loud voice I said ""SHORT... DECAF... VANILLA... MOCHA.. NONFAT... NO WHIP"" At which point she said I was treating her badly and refused to take my order. "
Trenton,"Newnan, GA","Reviewed Nov. 29, 2022",1.0,"So I went to Starbucks at the Kroger on lower Fayetteville and there was this old man serving coffee there so I went up to there and asked for a tall Americano and he asked my name and I said it but he said he didn't hear me so I said it louder. So when I got my drink, I was just sipping it until I looked at the receipt on my cup, it said Trenae, worst service ever!!"
Ryan,"Santa Rosa, CA","Reviewed Nov. 29, 2022",1.0,"I cannot believe Starbucks closed off all of the outlets in their stores around me. I would visit SB solo and with clients at least 6-8 times per month. Spending real money. One of my favorite past times has been catching up on emails while enjoying coffee and food. Now, I cannot come back knowing that I can’t be productive while there. Ya just lost a LOYAL customer for almost 20 years. Wow. Just wow."
Ian,"Beverly Hills, CA","Reviewed Nov. 17, 2022",1.0,"Starbucks had an ad on Veterans Day for complimentary coffee for Vets. I go to Starbucks at least once a day and my Sherman Oaks location didn’t know about it. I called corporate, who confirmed it was a fake ad. I asked my San Diego Marines about it, and they advised Starbucks was honoring it. I went online to contact Starbucks, and they said they’d look into it, call me back, and even looked on my account and said they would gift me $10. ALL WAS A LIE. I was never contacted, didn’t receive the $10 (unimportant), and reached out this morning and was hung up on. Starbucks has lost a loyal life long customer. I will also tell every veteran I know that Starbucks does not honor service members and they have no integrity. Disappointing!!!"
john,"Hasbrouck Heights, NJ","Reviewed Nov. 17, 2022",1.0,Starbucks offers reusable holiday cups when purchasing a holiday beverage. They refused a diabetic an unsweetened beverage because it was not one of their “holiday” beverages. One would think they could have been more accommodating.
B,"Franklin, NC","Reviewed Nov. 11, 2022",1.0,"Refused a free coffee to me and other veterans in Franklin, NC on Veterans Day as offered on Starbucks' national website and offered in newspapers statewide. As a long time customer of Starbucks, I am no longer a customer."
Diana,"Green Bay, WI","Reviewed Nov. 10, 2022",1.0,So mad. I go to the Green Bay Starbucks here which a lot of the time I get great service and it is a good place to go but when I get a cold drink a lot of the time the lid does not stay on at all. I have so many instances where I grab the cup and it falls off. Well today I ordered a Green Tea and then I was drinking it in my living room and the lid completely came off and fell out of my hands and now it is all over the floor and into my carpet. Not ordering there again until this is fixed. It is a 5 dollar drink and I should be able to drink it and not have it all over the floor because of an issue on their end.
Ariane,"Bristol, NH","Reviewed Nov. 6, 2022",1.0,I did a Mobile order and it gave a time of 11:35am.... I went to pick up at 1134am.... I waited 45 minutes until I went up to the register and got a refund. My problem was the Manager on duty.... She told customers to stop bothering the employees and they could get orders out. As a retail worker that is unacceptable to say to your consumers. That does not react return business. That's a foul attitude. I will never visit the tilton Starbucks ever again. They are unprofessional and rude.
Kimberly,"Springdale, AR","Reviewed Nov. 6, 2022",2.0,"I love the Starbucks on Sunset! The new one on Elms Springs isn't quite there yet! Friendly which is amazing, just they don't quite have it down yet! My daughter and I went there yesterday and it was watery and not as nearly wonderful! So we will go the extra miles to go to the one that knows what they are doing! Our money is just as important as your money!"
Susanne,"Encinitas, CA","Reviewed Oct. 29, 2022",1.0,"I've recently realized how difficult it is to find a Starbucks that has electrical outlets available to customers for charging laptops and cellphones. At first I thought, oh this particular store just never installed them. However, that's not the case. They have purposefully removed them in order to save electricity, a slap in the face to us loyal customers who spend gobs of money on their overpriced drink and food already. I always figured, well it makes sense, I'll pay the extra price for the opportunity to enjoy hanging around using WiFi and tapping some power, but they've gone too far now. Uh uh, you guys are not right! I still appreciate free ice cold water and whipped cream for my dog, but in the back of my mind lurks the knowledge that they have given and taketh away. I've banned you from my go to restaurants list, in fact I might never step into a Starbucks ever again! That was a shameful thing you guys did!"
Gina,"Whoville, AR","Reviewed Oct. 26, 2022",1.0,"Miserable customer service, executive department and website/apps. We have a Starbucks account where our payment method is linked to our account so we may earn stars for rewards. The Starbucks Cafe we go to is in a Market32/Price Chopper grocery store. Previously, every now and then purchase history shows with the $ amount, but no stars, shows as 0.0 earned. Then this started happening on a frequent basis. Called customer service, most speak English with a very broken accent. Explained the issue. "
Kenneth,"Minneapolis, MN","Reviewed Oct. 21, 2022",2.0,Very stale egg product in sandwich. Unusually weak coffee. Unlike most Starbucks. Very crowded store. Staff overwhelmed. Go to Caribou coffee instead. They need to test their products for freshness on a daily basis.
Marmar,"North Vancouver, Other","Reviewed Oct. 13, 2022",1.0,"I frequent this particular Starbucks about 5 times a week. This is the Edgemont Branch location. My usual drink is grande in venti cup, extra milk. Most of the employees know my face and some know my name as I go there quite often. Today I went to get my usual drink. I know exactly how much coffee and how much milk goes into the cup. The coffee level is at the edge of the circle on the cup. So when I saw the amount of coffee was less than usual and had too much room, I pointed it to the employee. She then proceeded to go to the back to talk to someone else, then came back with a measured cup and said we can't do that and talked to me in a way that really ruined the experience for me as she was making a fuss over nothing. "
Nildee,"Cocoa, FL","Reviewed Oct. 10, 2022",1.0,"While on vacation, we stopped at this Starbucks on 3388 Poplar Ave. in Memphis Tennessee to use the restroom. By the sink of the women's restroom, there were roaches half dead. In addition to the filthy restroom, everything else inside smelled damp, like old, used towels. You could also not wash your hands with soap because there was no dispenser. There was only one other restroom available which was out of service. Will have to keep my options and eyes open from now on."
Lloyd,"Fort Worth, TX","Reviewed Oct. 8, 2022",1.0,Company continues to raise prices when they have been generating revenue for years. They don't pay or take care of their employees well at all and they continue to lay off employees. Will never get my business.
Lauren,"Wadsworth, OH","Reviewed Oct. 8, 2022",1.0,"The website says that the store closes at 9:30 pm. My brother and I get to the drive through only to sit there for five minutes watching an employee walk around outside, only to go back inside to tell us they closed and refused to serve us. Starbucks will no longer be getting my money."
Aryelle,"Chester, VA","Reviewed Sept. 29, 2022",1.0,"I went to Starbucks and asked for a vanilla and and the Barista gave me what was left in the blender, I asked for a new one and the Barista charged me Double for it. DO NOT GO TO 12501 Jefferson Davis Highway Bermuda Square, Chester, VA 23831."
Roy,"Morristown, TN","Reviewed Sept. 23, 2022",1.0,"I used to spend over $100 a month in Starbucks coffee and do the receipt upload for stars as part of the loyalty rewards on top of buying several drinks from the on site barista when I was near one as I am not local to any. Then Starbucks stopped the receipt upload for stars, so now I am boycotting Starbucks due to receipt upload ending and now buying from Black Rifle Coffee. Over the years Starbucks keeps chopping away at the loyalty star program. In the past you got way more star benefits but now it's super skimpy."
Elizabeth,"Columbus, IN","Reviewed Sept. 23, 2022",3.0,I am continually disappointed when going to Starbucks. I am not sure they are reading the room… so to speak. The cost Continues to go up… as all things. But there should be a level of competing with the competitor. In our town we have 2 new Dunkin Donuts and they are less expensive. No am sure they are pulling customers. It also seems they are shorting the cups. Do not seem to be full on the craft drinks. Service has been much better than Last year. Have been a consumer for a Long time. Just seem it’s time to feed the customer more obviously than points.
Wendy,"Wentzville, MO","Reviewed Aug. 27, 2022",1.0,"2) Starbucks has continuously cut their rewards program over the past few years. Now, you have to ‘activate’ double star days. They know the more trouble they put people through, the less people will get the benefit."
Bertha,"Duluth, GA","Reviewed Aug. 7, 2022",1.0,"Purchased one cup of coffee and was charged 3 times for 1 cup so I am owed a credit to my debit card, however I was told after calling the 800 number that they will not be able to give me credit and the store will not likely give me a credit because it has been over 48hours. I suppose I should have assumed that they were going to rip me off with this triple charge and check my account and since I did not do that they decided to keep my money or offer me a card so that I lose my choice of where I spend the money that they stole. Such poor business ethics."
Christopher,"Lake Elsinore, CA","Reviewed Aug. 1, 2022",1.0,"Ok I know how the staff at Starbucks at 23811 Washington Ave, Murrieta, CA · (951) 461-1699 the service has to be one of the worst I have ever been to. I started going to this one over 2 months ago and they still don't know my drink. Now it is very difficult. It's any hot coffee with 10 sugars stirred in then extra cream 1/2-1/2. Now if that's too hard to get how the hell did they get a job. I have been to Starbucks all over and in less than 3 days they know my drink but not here where 2 months ain't enough to understand something so simple and yes I go in every day."
Sharon,"Culpeper, VA","Reviewed July 18, 2022",2.0,No Review Text
Lukas,"Prescott, AZ","Reviewed July 16, 2022",5.0,"A Place to Be. The space I chose was Starbucks. Never in my life would I have imagined that I would be interested in writing a paper about this. I am currently traveling and it has been a place that I have been frequently visiting to sit down and take care of my studies. I am an avid coffee drinker also and love to sip on a beverage and take care of what I need to take care of. It is peaceful, although sometimes chaotic. I enjoy being able to sit down and do my work. I believe it is a great place for students like myself to sit down and be productive."
David,"Chicago, IL","Reviewed July 13, 2022",3.0,"I walk to the Starbucks near my house every other day and get the same drink every day, chai tea latte. The service is usually great and I don't have to wait that long at all. The employees are friendly and kind. This goes for other locations that I visit. Unfortunately, the quality of Starbucks products has significantly declined and the prices have skyrocketed but that is understandable given the current economy. Every time I get a chai tea latte, it either tastes like water or nothing but milk, and on top of that, I am paying a premium for the venti size."
Pamela,"Crystal Falls, MI","Reviewed July 9, 2022",1.0,45 minutes in line with the employees constantly disappearing to the back and a line down the terminal. I never got to the counter to order and I was an hour and a half early for my flight. Get some employees who actually work so I can review the product and the service.
Brooklyn,"Longwood, FL","Reviewed June 27, 2022",2.0,"I went to Starbucks today expecting to get what I wanted. I ordered a grande dragon fruit refresher with lemonade and a cheese pastry. THIS LADY WHO WORKS THERE CHARGES ME 11 DOLLARS. The pastry was about 4 dollars in all and on top that she didn’t even get me a grande. She got me A SMALL. So I paid way more than what it was worth. Anddd she didn’t give me receipt so that I couldn't sue her because if I had one I would for sure. This freaking lady had the audacity to rob me of my money and I’ll never forget that and the cheese pastry I got WAS CREAM CHEESE not just “cheese” like it said. I didn’t want cream cheese, I wanted regular cheese. Omg is that literally too much to ask for. So ya Starbucks sucks. Never go there."
IAm,"Lithonia, GA","Reviewed June 25, 2022",1.0,I almost drunk a glass that was in my caramel crunch frappuccino... This is the most uncomfortable experience I have ever had at a Starbucks coffee and caramel frappuccino crunch is one of my favorite coffee is and I get it all the time to have glass in my coffee and almost swallowing it was the most Dreadful bad experience I ever had. If I would have swallow it lords nows the damage it would have done. (STARBUCKS STORE) LOCATION 2106 EAST VICTORY DRIVE SAVANAH GA. STORE NUMBER #14467. ** Case Number
Julie,"Houston, TX","Reviewed June 17, 2022",1.0,"The Starbucks coffee drinks cost a good deal of money. So when I pay for a coffee drink. I expect to get coffee, not a milkshake. But there are milkshakes hidden in the Frappuccino menu. If it is for kids. It should be labeled ""kids drinks"" or ""milkshakes."" That is just really disappointing. I ordered a Strawberry Creme Frappuccino, thinking that it was like the Strawberry funnel Cake Frappuccino, which was really good and had coffee in it. But they stopped selling that and instead there was just this disappointing strawberry milkshake that I ended up with. "
Aaron,"Minneapolis, MN","Reviewed June 15, 2022",1.0,"I am 58 years old, crashed my motorbike on a plastic Starbucks sign that was in the street and was injured and my motorbike was totaled. I contacted Starbucks and they promised me they would take care of it and agreed verbally on an amount that they would pay me. I agreed not to file a lawsuit if they would do the right thing and I have given them over a year to take care of this. They have not kept their word at all, completely dishonest and untrustworthy and never tell the truth. Who would ever want to drink their coffee of a company so dishonest and untrustworthy."
Billy,"Seattle, WA","Reviewed June 13, 2022",1.0,"I have been a loyal customer for 10+ yrs...however, I've won multiple prizes on the most recent Starbucks app game but the prizes don't get delivered to my account. Customer service didn't know how to help. I've spent money to play the game trying to win prizes but never see the prizes that I've already won. FRAUD!!! Don't fall for it screenshots don't help either. It needs the reward to be displayed as in barcode scan. I'm not spending in Starbucks anymore. Its brand of integrity is very poor."
Ivan,"Costa Mesa, CA","Reviewed May 31, 2022",4.0,"Most Starbucks charge $2.95 for grande Pike Place coffee, but one store in Huntington Beach CA (Brookhurst & Hamilton) charges $3.25 for same grande. Lovely place, great staff, but price a bit of a turn off…"
Samantha,"Jackson, MS","Reviewed May 31, 2022",1.0,"I visited the Starbucks in Flowood, Mississippi on May 29, 2022, and the young man gave me the very hot tea with the top off and it went everywhere. My thigh was on fire and when I asked for napkins he just looked at me. I gave him the tea back and asked for the manager. Mr. Cody came to the window and when I told him what happened he said ""really"" with a smirk on his face. I was like, ""Yes"" then he went on to say, ""Oh,"" but the smirk was still on his face. He was questioning the fact of if I really got burned. When I asked for my money back he got an attitude. He refuse to tell me the general manager's name or number."
J,"Englewood, CO","Reviewed May 30, 2022",5.0,"I have been going to this store regularly for years. The last year has been almost daily. It is a very busy store but they move us through quickly. It seems like the employees all get along and do their jobs efficiently and curiously. One day a slight mistake was made and could have been my error due to the fact I usually have a large order, but a very nice young lady Stephanie took care of it, with a smile. If I need coffee I will wait to drive to this store. The manager Elaina is always working with a smile. Maybe that is why her employees treat us all that way. These days it is hard to find good customer service but to find exceptional service is even better. Thank you to Stephanie and the whole crew. Great job Elaina."
